query_chr	status	assigned_ref_chr
HG995238.1	fusion	M27,M6
HG995246.1	fusion	M23,M29
HG995263.1	ancestral	M26
HG995239.1	ancestral	MZ
HG995243.1	ancestral	M5
HG995248.1	ancestral	M8
HG995261.1	ancestral	M24
HG995256.1	ancestral	M17
HG995240.1	ancestral	M1
HG995245.1	ancestral	M7
HG995241.1	ancestral	M3
HG995260.1	ancestral	M21
HG995242.1	ancestral	M2
HG995254.1	ancestral	M13
HG995244.1	ancestral	M4
HG995250.1	ancestral	M11
HG995251.1	ancestral	M12
HG995259.1	ancestral	M19
HG995252.1	ancestral	M9
HG995255.1	ancestral	M15
HG995249.1	ancestral	M14
HG995257.1	ancestral	M18
HG995247.1	ancestral	M10
HG995258.1	ancestral	M20
HG995253.1	ancestral	M16
HG995265.1	ancestral	M30
HG995264.1	ancestral	M28
HG995262.1	ancestral	M22
HG995266.1	ancestral	M25
