query_chr	status	assigned_ref_chr
LR990231.1	fusion	M24,M26
LR990224.1	ancestral	MZ
LR990229.1	ancestral	M5
LR990234.1	ancestral	M8
LR990242.1	ancestral	M17
LR990226.1	ancestral	M1
LR990232.1	ancestral	M7
LR990227.1	ancestral	M3
LR990245.1	ancestral	M21
LR990233.1	ancestral	M2
LR990240.1	ancestral	M13
LR990225.1	ancestral	M4
LR990235.1	ancestral	M11
LR990228.1	ancestral	M12
LR990246.1	ancestral	M19
LR990239.1	ancestral	M9
LR990241.1	ancestral	M15
LR990237.1	ancestral	M14
LR990243.1	ancestral	M18
LR990236.1	ancestral	M10
LR990244.1	ancestral	M20
LR990238.1	ancestral	M16
LR990230.1	ancestral	M6
LR990252.1	ancestral	M30
LR990248.1	ancestral	M23
LR990249.1	ancestral	M28
LR990247.1	ancestral	M22
LR990251.1	ancestral	M29
LR990250.1	ancestral	M25
LR990253.1	ancestral	M27
