query_chr	status	assigned_ref_chr
HG992203.1	ancestral	M26
HG992176.1	ancestral	MZ
HG992182.1	ancestral	M5
HG992187.1	ancestral	M8
HG992201.1	ancestral	M24
HG992194.1	ancestral	M17
HG992178.1	ancestral	M1
HG992186.1	ancestral	M7
HG992179.1	ancestral	M3
HG992197.1	ancestral	M21
HG992177.1	ancestral	M2
HG992192.1	ancestral	M13
HG992181.1	ancestral	M4
HG992185.1	ancestral	M11
HG992188.1	ancestral	M12
HG992189.1	ancestral	M19
HG992183.1	ancestral	M9
HG992193.1	ancestral	M15
HG992190.1	ancestral	M14
HG992195.1	ancestral	M18
HG992184.1	ancestral	M10
HG992196.1	ancestral	M20
HG992191.1	ancestral	M16
HG992180.1	ancestral	M6
HG992206.1	ancestral	M30
HG992199.1	ancestral	M23
HG992204.1	ancestral	M28
HG992198.1	ancestral	M22
HG992205.1	ancestral	M29
HG992202.1	ancestral	M25
HG992200.1	ancestral	M27
