query_chr	status	assigned_ref_chr
FR989982.1	fusion	M29,MZ
FR989983.1	fusion	M27,M7
FR990009.1	ancestral	M26
FR989989.1	ancestral	M5
FR989988.1	ancestral	M8
FR990005.1	ancestral	M24
FR989998.1	ancestral	M17
FR989985.1	ancestral	M1
FR989986.1	ancestral	M3
FR990004.1	ancestral	M21
FR989984.1	ancestral	M2
FR989994.1	ancestral	M13
FR989990.1	ancestral	M4
FR989992.1	ancestral	M11
FR989993.1	ancestral	M12
FR990002.1	ancestral	M19
FR989995.1	ancestral	M9
FR989999.1	ancestral	M15
FR989997.1	ancestral	M14
FR990000.1	ancestral	M18
FR989991.1	ancestral	M10
FR990001.1	ancestral	M20
FR989996.1	ancestral	M16
FR989987.1	ancestral	M6
FR990010.1	ancestral	M30
FR990006.1	ancestral	M23
FR990008.1	ancestral	M28
FR990007.1	ancestral	M22
FR990003.1	ancestral	M25
