query_chr	status	assigned_ref_chr
BHWX01000023.1	fusion	M12,M30
BHWX01000011.1	fusion	M14,M25
BHWX01000024.1	fusion	M27,M28
BHWX01000027.1	ancestral	M26
BHWX01000001.1	ancestral	MZ
BHWX01000010.1	ancestral	M5
BHWX01000012.1	ancestral	M8
BHWX01000020.1	ancestral	M24
BHWX01000019.1	ancestral	M17
BHWX01000005.1	ancestral	M1
BHWX01000009.1	ancestral	M7
BHWX01000004.1	ancestral	M3
BHWX01000007.1	ancestral	M21
BHWX01000015.1	ancestral	M2
BHWX01000021.1	ancestral	M13
BHWX01000013.1	ancestral	M4
BHWX01000006.1	ancestral	M11
BHWX01000014.1	ancestral	M19
BHWX01000008.1	ancestral	M9
BHWX01000003.1	ancestral	M15
BHWX01000025.1	ancestral	M18
BHWX01000017.1	ancestral	M10
BHWX01000016.1	ancestral	M20
BHWX01000018.1	ancestral	M16
BHWX01000022.1	ancestral	M6
BHWX01000026.1	ancestral	M23
BHWX01000028.1	ancestral	M22
BHWX01000002.1	ancestral	M29
