query_chr	status	assigned_ref_chr
LR989974.1	ancestral	M26
LR989949.1	ancestral	MZ
LR989952.1	ancestral	M5
LR989956.1	ancestral	M8
LR989971.1	ancestral	M24
LR989966.1	ancestral	M17
LR989950.1	ancestral	M1
LR989958.1	ancestral	M7
LR989951.1	ancestral	M3
LR989970.1	ancestral	M21
LR989954.1	ancestral	M2
LR989965.1	ancestral	M13
LR989955.1	ancestral	M4
LR989960.1	ancestral	M11
LR989959.1	ancestral	M12
LR989968.1	ancestral	M19
LR989962.1	ancestral	M9
LR989964.1	ancestral	M15
LR989961.1	ancestral	M14
LR989967.1	ancestral	M18
LR989957.1	ancestral	M10
LR989969.1	ancestral	M20
LR989963.1	ancestral	M16
LR989953.1	ancestral	M6
LR989978.1	ancestral	M30
LR989972.1	ancestral	M23
LR989975.1	ancestral	M28
LR989973.1	ancestral	M22
LR989977.1	ancestral	M29
LR989979.1	ancestral	M25
LR989976.1	ancestral	M27
