query_chr	status	assigned_ref_chr
LR990878.1	ancestral	M26
LR990852.1	ancestral	MZ
LR990857.1	ancestral	M5
LR990865.1	ancestral	M8
LR990876.1	ancestral	M24
LR990870.1	ancestral	M17
LR990853.1	ancestral	M1
LR990859.1	ancestral	M7
LR990856.1	ancestral	M3
LR990868.1	ancestral	M21
LR990855.1	ancestral	M2
LR990867.1	ancestral	M13
LR990858.1	ancestral	M4
LR990860.1	ancestral	M11
LR990863.1	ancestral	M12
LR990871.1	ancestral	M19
LR990864.1	ancestral	M9
LR990869.1	ancestral	M15
LR990862.1	ancestral	M14
LR990872.1	ancestral	M18
LR990861.1	ancestral	M10
LR990873.1	ancestral	M20
LR990866.1	ancestral	M16
LR990854.1	ancestral	M6
LR990882.1	ancestral	M30
LR990877.1	ancestral	M23
LR990880.1	ancestral	M28
LR990875.1	ancestral	M22
LR990883.1	ancestral	M29
LR990879.1	ancestral	M25
LR990881.1	ancestral	M27
