query_chr	status	assigned_ref_chr
LR990895.1	fusion	M22,M24
LR990899.1	fusion	M19,M29
LR990903.1	fusion	M20,M30
LR990915.1	ancestral	M26
LR990891.1	ancestral	MZ
LR990897.1	ancestral	M5
LR990902.1	ancestral	M8
LR990912.1	ancestral	M17
LR990892.1	ancestral	M1
LR990900.1	ancestral	M7
LR990893.1	ancestral	M3
LR990913.1	ancestral	M21
LR990894.1	ancestral	M2
LR990911.1	ancestral	M13
LR990896.1	ancestral	M4
LR990901.1	ancestral	M11
LR990906.1	ancestral	M12
LR990904.1	ancestral	M9
LR990908.1	ancestral	M15
LR990907.1	ancestral	M14
LR990910.1	ancestral	M18
LR990905.1	ancestral	M10
LR990909.1	ancestral	M16
LR990898.1	ancestral	M6
LR990914.1	ancestral	M23
LR990916.1	ancestral	M28
LR990918.1	ancestral	M25
LR990917.1	ancestral	M27
