query_chr	status	assigned_ref_chr
CP053173.1	ancestral	M26
CP053148.1	ancestral	MZ
CP053152.1	ancestral	M5
CP053159.1	ancestral	M8
CP053170.1	ancestral	M24
CP053162.1	ancestral	M17
CP053150.1	ancestral	M1
CP053156.1	ancestral	M7
CP053149.1	ancestral	M3
CP053168.1	ancestral	M21
CP053151.1	ancestral	M2
CP053163.1	ancestral	M13
CP053154.1	ancestral	M4
CP053158.1	ancestral	M11
CP053161.1	ancestral	M12
CP053167.1	ancestral	M19
CP053160.1	ancestral	M9
CP053164.1	ancestral	M15
CP053155.1	ancestral	M14
CP053166.1	ancestral	M18
CP053157.1	ancestral	M10
CP053169.1	ancestral	M20
CP053165.1	ancestral	M16
CP053153.1	ancestral	M6
CP053178.1	ancestral	M30
CP053171.1	ancestral	M23
CP053175.1	ancestral	M28
CP053174.1	ancestral	M22
CP053176.1	ancestral	M29
CP053177.1	ancestral	M25
CP053172.1	ancestral	M27
