query_chr	status	assigned_ref_chr
LR989919.1	ancestral	M26
LR989895.1	ancestral	MZ
LR989903.1	ancestral	M5
LR989905.1	ancestral	M8
LR989917.1	ancestral	M24
LR989912.1	ancestral	M17
LR989896.1	ancestral	M1
LR989901.1	ancestral	M7
LR989898.1	ancestral	M3
LR989915.1	ancestral	M21
LR989897.1	ancestral	M2
LR989909.1	ancestral	M13
LR989899.1	ancestral	M4
LR989908.1	ancestral	M11
LR989907.1	ancestral	M12
LR989916.1	ancestral	M19
LR989910.1	ancestral	M9
LR989906.1	ancestral	M15
LR989911.1	ancestral	M14
LR989914.1	ancestral	M18
LR989904.1	ancestral	M10
LR989913.1	ancestral	M20
LR989902.1	ancestral	M16
LR989900.1	ancestral	M6
LR989922.1	ancestral	M30
LR989920.1	ancestral	M23
LR989921.1	ancestral	M28
LR989918.1	ancestral	M22
LR989923.1	ancestral	M29
LR989925.1	ancestral	M25
LR989924.1	ancestral	M27
