query_chr	status	assigned_ref_chr
FR989917.1	ancestral	M26
FR989898.1	ancestral	MZ
FR989897.1	ancestral	M5
FR989901.1	ancestral	M8
FR989919.1	ancestral	M24
FR989910.1	ancestral	M17
FR989895.1	ancestral	M1
FR989902.1	ancestral	M7
FR989894.1	ancestral	M3
FR989913.1	ancestral	M21
FR989896.1	ancestral	M2
FR989911.1	ancestral	M13
FR989900.1	ancestral	M4
FR989904.1	ancestral	M11
FR989903.1	ancestral	M12
FR989915.1	ancestral	M19
FR989907.1	ancestral	M9
FR989908.1	ancestral	M15
FR989905.1	ancestral	M14
FR989912.1	ancestral	M18
FR989906.1	ancestral	M10
FR989914.1	ancestral	M20
FR989909.1	ancestral	M16
FR989899.1	ancestral	M6
FR989923.1	ancestral	M30
FR989916.1	ancestral	M23
FR989920.1	ancestral	M28
FR989918.1	ancestral	M22
FR989921.1	ancestral	M29
FR989924.1	ancestral	M25
FR989922.1	ancestral	M27
