query_chr	status	assigned_ref_chr
HG992266.1	ancestral	M26
HG992241.1	ancestral	MZ
HG992247.1	ancestral	M5
HG992249.1	ancestral	M8
HG992265.1	ancestral	M24
HG992258.1	ancestral	M17
HG992243.1	ancestral	M1
HG992242.1	ancestral	M7
HG992244.1	ancestral	M3
HG992261.1	ancestral	M21
HG992246.1	ancestral	M2
HG992254.1	ancestral	M13
HG992245.1	ancestral	M4
HG992252.1	ancestral	M11
HG992253.1	ancestral	M12
HG992262.1	ancestral	M19
HG992251.1	ancestral	M9
HG992257.1	ancestral	M15
HG992255.1	ancestral	M14
HG992259.1	ancestral	M18
HG992250.1	ancestral	M10
HG992260.1	ancestral	M20
HG992256.1	ancestral	M16
HG992248.1	ancestral	M6
HG992270.1	ancestral	M30
HG992264.1	ancestral	M23
HG992267.1	ancestral	M28
HG992263.1	ancestral	M22
HG992269.1	ancestral	M29
HG992271.1	ancestral	M25
HG992268.1	ancestral	M27
