query_chr	status	assigned_ref_chr
CM010760.1	fusion	M12,M14,M26
CM010751.1	fusion	M14,M15,M17,M20,MZ
CM010759.1	fusion	M15,M8
CM010755.1	fusion	M13,M2,M24,MZ
CM010752.1	fusion	M17,M4,M5
CM010766.1	fusion	M1,M21,M9
CM010754.1	fusion	M11,M18,M2,M3
CM010757.1	fusion	M16,M22,MZ
CM010765.1	fusion	M14,M3
CM010762.1	fusion	M21,M22
CM010753.1	fusion	M10,M19,M25,M27,M5
CM010758.1	fusion	M1,M11
CM010763.1	fusion	M12,M19,M29
CM010768.1	fusion	M19,M20
CM010771.1	fusion	M29,MZ
CM010761.1	fusion	M18,M30,M9
CM010756.1	fusion	M10,M23,M6
CM010770.1	fusion	M15,M16,MZ
CM010775.1	fusion	M12,M17
CM010777.1	fusion	M11,M12
CM010776.1	fusion	M27,M28
CM010764.1	ancestral	M7
CM010769.1	ancestral	M13
CM010772.1	ancestral	M5
CM010773.1	ancestral	M18
CM010767.1	ancestral	M6
CM010774.1	ancestral	M28
