query_chr	status	assigned_ref_chr
LR990946.1	ancestral	M26
LR990921.1	ancestral	MZ
LR990930.1	ancestral	M5
LR990932.1	ancestral	M8
LR990935.1	ancestral	M24
LR990939.1	ancestral	M17
LR990923.1	ancestral	M1
LR990927.1	ancestral	M7
LR990928.1	ancestral	M3
LR990944.1	ancestral	M21
LR990922.1	ancestral	M2
LR990942.1	ancestral	M13
LR990931.1	ancestral	M4
LR990924.1	ancestral	M11
LR990937.1	ancestral	M12
LR990929.1	ancestral	M19
LR990938.1	ancestral	M9
LR990940.1	ancestral	M15
LR990941.1	ancestral	M14
LR990936.1	ancestral	M18
LR990926.1	ancestral	M10
LR990934.1	ancestral	M20
LR990933.1	ancestral	M16
LR990925.1	ancestral	M6
LR990951.1	ancestral	M30
LR990943.1	ancestral	M23
LR990947.1	ancestral	M28
LR990945.1	ancestral	M22
LR990948.1	ancestral	M29
LR990950.1	ancestral	M25
LR990949.1	ancestral	M27
