query_chr	status	assigned_ref_chr
HG996511.1	ancestral	M26
HG996486.1	ancestral	MZ
HG996491.1	ancestral	M5
HG996490.1	ancestral	M8
HG996509.1	ancestral	M24
HG996503.1	ancestral	M17
HG996487.1	ancestral	M1
HG996494.1	ancestral	M7
HG996488.1	ancestral	M3
HG996506.1	ancestral	M21
HG996489.1	ancestral	M2
HG996501.1	ancestral	M13
HG996493.1	ancestral	M4
HG996498.1	ancestral	M11
HG996496.1	ancestral	M12
HG996504.1	ancestral	M19
HG996499.1	ancestral	M9
HG996502.1	ancestral	M15
HG996497.1	ancestral	M14
HG996505.1	ancestral	M18
HG996495.1	ancestral	M10
HG996507.1	ancestral	M20
HG996500.1	ancestral	M16
HG996492.1	ancestral	M6
HG996515.1	ancestral	M30
HG996508.1	ancestral	M23
HG996512.1	ancestral	M28
HG996510.1	ancestral	M22
HG996514.1	ancestral	M29
HG996516.1	ancestral	M25
HG996513.1	ancestral	M27
