query_chr	status	assigned_ref_chr
OU015642.1	ancestral	M26
OU015621.1	ancestral	MZ
OU015620.1	ancestral	M5
OU015625.1	ancestral	M8
OU015641.1	ancestral	M24
OU015634.1	ancestral	M17
OU015619.1	ancestral	M1
OU015624.1	ancestral	M7
OU015618.1	ancestral	M3
OU015638.1	ancestral	M21
OU015617.1	ancestral	M2
OU015631.1	ancestral	M13
OU015622.1	ancestral	M4
OU015628.1	ancestral	M11
OU015630.1	ancestral	M12
OU015637.1	ancestral	M19
OU015627.1	ancestral	M9
OU015632.1	ancestral	M15
OU015629.1	ancestral	M14
OU015636.1	ancestral	M18
OU015626.1	ancestral	M10
OU015635.1	ancestral	M20
OU015633.1	ancestral	M16
OU015623.1	ancestral	M6
OU015646.1	ancestral	M30
OU015639.1	ancestral	M23
OU015643.1	ancestral	M28
OU015640.1	ancestral	M22
OU015645.1	ancestral	M29
OU015647.1	ancestral	M25
OU015644.1	ancestral	M27
