query_chr	status	assigned_ref_chr
LR990106.1	fusion	M22,M26,M30
LR990107.1	fusion	M25,MZ
LR990110.1	fusion	M20,M24
LR990109.1	fusion	M19,M21
LR990103.1	fusion	M2,M27
LR990108.1	fusion	M11,M29
LR990105.1	fusion	M12,M28
LR990104.1	fusion	M23,M9
LR990116.1	ancestral	M5
LR990114.1	ancestral	M8
LR990121.1	ancestral	M17
LR990111.1	ancestral	M1
LR990115.1	ancestral	M7
LR990112.1	ancestral	M3
LR990119.1	ancestral	M13
LR990113.1	ancestral	M4
LR990122.1	ancestral	M15
LR990124.1	ancestral	M14
LR990123.1	ancestral	M18
LR990117.1	ancestral	M10
LR990120.1	ancestral	M16
LR990118.1	ancestral	M6
