query_chr	status	assigned_ref_chr
FR990153.1	fusion	M10,MZ
FR990159.1	fusion	M14,M18,M5,M7
FR990167.1	fusion	M16,M22,M8
FR990166.1	fusion	M13,M17,M20,M24,M5
FR990177.1	fusion	M2,M8
FR990178.1	fusion	M12,M17
FR990197.1	fusion	M1,M23
FR990156.1	fusion	M2,M22,M23,M9
FR990165.1	fusion	M13,M3,M7
FR990173.1	fusion	M14,M18,M26
FR990180.1	fusion	M3,M9
FR990155.1	fusion	M21,M25,M28
FR990160.1	fusion	M13,M15,M8
FR990154.1	fusion	M14,M20,M5,M6,M7
FR990181.1	fusion	M13,M6
FR990187.1	fusion	M12,M5
FR990174.1	fusion	M21,M4,M5
FR990161.1	fusion	M11,M2
FR990191.1	fusion	M4,M9
FR990195.1	fusion	M1,M7
FR990196.1	fusion	M4,M6
FR990175.1	fusion	M19,M24
FR990176.1	fusion	M2,M29
FR990162.1	fusion	M15,M18,M2,M9
FR990179.1	fusion	M14,M18,M23
FR990157.1	fusion	M23,M26,M3
FR990184.1	fusion	M16,M20
FR990164.1	fusion	M11,M16,M5
FR990171.1	fusion	M1,M10
FR990158.1	fusion	M13,M16,M2
FR990163.1	fusion	M1,M14,M5
FR990185.1	fusion	M11,M12
FR990183.1	fusion	M15,M4
FR990194.1	fusion	M14,M5,M9
FR990192.1	fusion	M11,M28
FR990193.1	fusion	M1,M22
FR990189.1	fusion	M13,M21
FR990172.1	fusion	M24,M4
FR990168.1	fusion	M22,M29,M6
FR990198.1	fusion	M15,M6,M9
FR990169.1	fusion	M1,M13,M8
FR990186.1	ancestral	M30
FR990170.1	ancestral	M3
FR990188.1	ancestral	M12
FR990199.1	ancestral	M17
FR990200.1	ancestral	M19
FR990190.1	ancestral	M7
FR990182.1	ancestral	M27
