query_chr	status	assigned_ref_chr
HG992055.1	fusion	M12,MZ
HG992064.1	fusion	M29,M8
HG992071.1	fusion	M11,M27
HG992067.1	fusion	M20,M22
HG992087.1	split	M5
HG992118.1	split	M5
HG992081.1	split	M5
HG992112.1	split	M5
HG992086.1	split	M8
HG992062.1	split	M8
HG992093.1	split	M8
HG992068.1	split	M24
HG992090.1	split	M24
HG992116.1	split	M17
HG992120.1	split	M17
HG992130.1	split	M17
HG992121.1	split	M17
HG992073.1	split	M1
HG992079.1	split	M1
HG992103.1	split	M1
HG992122.1	split	M1
HG992061.1	split	M7
HG992104.1	split	M7
HG992141.1	split	M7
HG992140.1	split	M7
HG992109.1	split	M3
HG992133.1	split	M3
HG992096.1	split	M3
HG992117.1	split	M3
HG992123.1	ancestral	M26
HG992142.1	split	M21
HG992085.1	split	M21
HG992144.1	split	M21
HG992128.1	split	M21
HG992088.1	split	M2
HG992099.1	split	M2
HG992094.1	split	M2
HG992065.1	split	M2
HG992066.1	split	M13
HG992072.1	split	M13
HG992095.1	split	M13
HG992078.1	split	M4
HG992075.1	split	M4
HG992091.1	split	M4
HG992101.1	split	M4
HG992059.1	split	M11
HG992060.1	split	M11
HG992125.1	split	M12
HG992111.1	split	M12
HG992102.1	split	M12
HG992108.1	split	M19
HG992131.1	split	M19
HG992139.1	split	M19
HG992082.1	split	M9
HG992113.1	split	M9
HG992115.1	split	M9
HG992134.1	split	M9
HG992129.1	split	M15
HG992135.1	split	M15
HG992136.1	split	M15
HG992098.1	split	M15
HG992074.1	split	M14
HG992124.1	split	M14
HG992137.1	split	M14
HG992127.1	split	M14
HG992143.1	split	M18
HG992110.1	split	M18
HG992107.1	split	M18
HG992092.1	split	M10
HG992063.1	split	M10
HG992058.1	split	M10
HG992084.1	split	M20
HG992080.1	split	M20
HG992138.1	split	M16
HG992105.1	split	M16
HG992106.1	split	M16
HG992132.1	split	M16
HG992100.1	split	M6
HG992097.1	split	M6
HG992119.1	split	M6
HG992083.1	split	M6
HG992057.1	ancestral	M25
HG992077.1	ancestral	M30
HG992056.1	split	M23
HG992089.1	split	M23
HG992076.1	split	M28
HG992070.1	split	M28
HG992069.1	ancestral	M22
HG992114.1	ancestral	M27
