query_chr	status	assigned_ref_chr
HG992017.1	ancestral	M26
HG991991.1	ancestral	MZ
HG992004.1	ancestral	M5
HG991995.1	ancestral	M8
HG992011.1	ancestral	M24
HG992010.1	ancestral	M17
HG991992.1	ancestral	M1
HG991999.1	ancestral	M7
HG992000.1	ancestral	M3
HG992013.1	ancestral	M21
HG991993.1	ancestral	M2
HG992003.1	ancestral	M13
HG991996.1	ancestral	M4
HG992001.1	ancestral	M11
HG992005.1	ancestral	M12
HG991998.1	ancestral	M19
HG992006.1	ancestral	M9
HG992009.1	ancestral	M15
HG992008.1	ancestral	M14
HG992007.1	ancestral	M18
HG991994.1	ancestral	M10
HG992012.1	ancestral	M20
HG992002.1	ancestral	M16
HG991997.1	ancestral	M6
HG992019.1	ancestral	M30
HG992014.1	ancestral	M23
HG992016.1	ancestral	M28
HG992015.1	ancestral	M22
HG992018.1	ancestral	M29
HG992021.1	ancestral	M25
HG992020.1	ancestral	M27
