query_chr	status	assigned_ref_chr
CM019213.1	fusion	M20,MZ
CM019208.1	ancestral	M26
CM019191.1	ancestral	M5
CM019193.1	ancestral	M8
CM019206.1	ancestral	M24
CM019199.1	ancestral	M17
CM019186.1	ancestral	M1
CM019190.1	ancestral	M7
CM019187.1	ancestral	M3
CM019203.1	ancestral	M21
CM019184.1	ancestral	M2
CM019192.1	ancestral	M13
CM019189.1	ancestral	M4
CM019194.1	ancestral	M11
CM019195.1	ancestral	M12
CM019204.1	ancestral	M19
CM019196.1	ancestral	M9
CM019198.1	ancestral	M15
CM019200.1	ancestral	M14
CM019201.1	ancestral	M18
CM019185.1	ancestral	M10
CM019197.1	ancestral	M16
CM019188.1	ancestral	M6
CM019210.1	ancestral	M30
CM019205.1	ancestral	M23
CM019207.1	ancestral	M28
CM019202.1	ancestral	M22
CM019209.1	ancestral	M29
CM019212.1	ancestral	M25
CM019211.1	ancestral	M27
