query_chr	status	assigned_ref_chr
FR990129.1	fusion	M20,M27
FR990141.1	fusion	M28,M30
FR990146.1	ancestral	M26
FR990123.1	ancestral	MZ
FR990126.1	ancestral	M5
FR990132.1	ancestral	M8
FR990149.1	ancestral	M24
FR990142.1	ancestral	M17
FR990124.1	ancestral	M1
FR990131.1	ancestral	M7
FR990125.1	ancestral	M3
FR990144.1	ancestral	M21
FR990127.1	ancestral	M2
FR990140.1	ancestral	M13
FR990130.1	ancestral	M4
FR990133.1	ancestral	M11
FR990135.1	ancestral	M12
FR990145.1	ancestral	M19
FR990137.1	ancestral	M9
FR990139.1	ancestral	M15
FR990136.1	ancestral	M14
FR990143.1	ancestral	M18
FR990134.1	ancestral	M10
FR990138.1	ancestral	M16
FR990128.1	ancestral	M6
FR990148.1	ancestral	M23
FR990147.1	ancestral	M22
FR990151.1	ancestral	M29
FR990150.1	ancestral	M25
