query_chr	status	assigned_ref_chr
HG995212.1	fusion	M22,M24
HG995220.1	fusion	M20,M30
HG995230.1	ancestral	M26
HG995208.1	ancestral	MZ
HG995210.1	ancestral	M5
HG995218.1	ancestral	M8
HG995227.1	ancestral	M17
HG995209.1	ancestral	M1
HG995215.1	ancestral	M7
HG995207.1	ancestral	M3
HG995229.1	ancestral	M21
HG995211.1	ancestral	M2
HG995225.1	ancestral	M13
HG995213.1	ancestral	M4
HG995217.1	ancestral	M11
HG995219.1	ancestral	M12
HG995228.1	ancestral	M19
HG995222.1	ancestral	M9
HG995224.1	ancestral	M15
HG995216.1	ancestral	M14
HG995226.1	ancestral	M18
HG995221.1	ancestral	M10
HG995223.1	ancestral	M16
HG995214.1	ancestral	M6
HG995231.1	ancestral	M23
HG995232.1	ancestral	M28
HG995235.1	ancestral	M29
HG995236.1	ancestral	M25
HG995233.1	ancestral	M27
