query_chr	status	assigned_ref_chr
OU026114.1	fusion	M21,MZ
OU026135.1	ancestral	M26
OU026127.1	ancestral	M5
OU026115.1	ancestral	M8
OU026132.1	ancestral	M24
OU026134.1	ancestral	M17
OU026123.1	ancestral	M1
OU026124.1	ancestral	M7
OU026116.1	ancestral	M3
OU026119.1	ancestral	M2
OU026128.1	ancestral	M13
OU026122.1	ancestral	M4
OU026117.1	ancestral	M11
OU026130.1	ancestral	M12
OU026126.1	ancestral	M19
OU026125.1	ancestral	M9
OU026129.1	ancestral	M15
OU026131.1	ancestral	M14
OU026136.1	ancestral	M18
OU026120.1	ancestral	M10
OU026133.1	ancestral	M20
OU026121.1	ancestral	M16
OU026118.1	ancestral	M6
OU026143.1	ancestral	M30
OU026139.1	ancestral	M23
OU026138.1	ancestral	M28
OU026137.1	ancestral	M22
OU026142.1	ancestral	M29
OU026140.1	ancestral	M25
OU026141.1	ancestral	M27
