query_chr	status	assigned_ref_chr
LR990093.1	ancestral	M26
LR990071.1	ancestral	MZ
LR990074.1	ancestral	M5
LR990078.1	ancestral	M8
LR990096.1	ancestral	M24
LR990089.1	ancestral	M17
LR990073.1	ancestral	M1
LR990080.1	ancestral	M7
LR990072.1	ancestral	M3
LR990090.1	ancestral	M21
LR990075.1	ancestral	M2
LR990088.1	ancestral	M13
LR990077.1	ancestral	M4
LR990079.1	ancestral	M11
LR990083.1	ancestral	M12
LR990091.1	ancestral	M19
LR990084.1	ancestral	M9
LR990085.1	ancestral	M15
LR990081.1	ancestral	M14
LR990087.1	ancestral	M18
LR990082.1	ancestral	M10
LR990092.1	ancestral	M20
LR990086.1	ancestral	M16
LR990076.1	ancestral	M6
LR990100.1	ancestral	M30
LR990095.1	ancestral	M23
LR990097.1	ancestral	M28
LR990094.1	ancestral	M22
LR990099.1	ancestral	M29
LR990101.1	ancestral	M25
LR990098.1	ancestral	M27
