query_chr	status	assigned_ref_chr
FR997747.1	ancestral	M26
FR997721.1	ancestral	MZ
FR997732.1	ancestral	M5
FR997728.1	ancestral	M8
FR997738.1	ancestral	M24
FR997740.1	ancestral	M17
FR997723.1	ancestral	M1
FR997731.1	ancestral	M7
FR997727.1	ancestral	M3
FR997741.1	ancestral	M21
FR997725.1	ancestral	M2
FR997737.1	ancestral	M13
FR997730.1	ancestral	M4
FR997733.1	ancestral	M11
FR997729.1	ancestral	M12
FR997722.1	ancestral	M19
FR997735.1	ancestral	M9
FR997742.1	ancestral	M15
FR997739.1	ancestral	M14
FR997743.1	ancestral	M18
FR997734.1	ancestral	M10
FR997744.1	ancestral	M20
FR997736.1	ancestral	M16
FR997726.1	ancestral	M6
FR997752.1	ancestral	M30
FR997745.1	ancestral	M23
FR997748.1	ancestral	M28
FR997746.1	ancestral	M22
FR997750.1	ancestral	M29
FR997751.1	ancestral	M25
FR997749.1	ancestral	M27
