query_chr	status	assigned_ref_chr
LR990542.1	ancestral	M26
LR990517.1	ancestral	MZ
LR990527.1	ancestral	M5
LR990525.1	ancestral	M8
LR990539.1	ancestral	M24
LR990534.1	ancestral	M17
LR990518.1	ancestral	M1
LR990523.1	ancestral	M7
LR990522.1	ancestral	M3
LR990538.1	ancestral	M21
LR990519.1	ancestral	M2
LR990531.1	ancestral	M13
LR990521.1	ancestral	M4
LR990528.1	ancestral	M11
LR990529.1	ancestral	M12
LR990524.1	ancestral	M19
LR990532.1	ancestral	M9
LR990535.1	ancestral	M15
LR990536.1	ancestral	M18
LR990526.1	ancestral	M10
LR990537.1	ancestral	M20
LR990530.1	ancestral	M16
LR990533.1	ancestral	M14
LR990520.1	ancestral	M6
LR990546.1	ancestral	M30
LR990541.1	ancestral	M23
LR990543.1	ancestral	M28
LR990540.1	ancestral	M22
LR990544.1	ancestral	M29
LR990547.1	ancestral	M25
LR990545.1	ancestral	M27
