query_chr	status	assigned_ref_chr
LR994567.1	fusion	M25,M26
LR994548.1	fusion	M29,M8
LR994546.1	fusion	M24,M3
LR994551.1	fusion	M30,M7
LR994549.1	fusion	M11,M27
LR994550.1	fusion	M18,M19
LR994552.1	fusion	M20,M22
LR994547.1	ancestral	MZ
LR994557.1	ancestral	M5
LR994565.1	ancestral	M17
LR994555.1	ancestral	M1
LR994566.1	ancestral	M21
LR994554.1	ancestral	M2
LR994562.1	ancestral	M13
LR994553.1	ancestral	M4
LR994561.1	ancestral	M12
LR994559.1	ancestral	M9
LR994564.1	ancestral	M15
LR994560.1	ancestral	M14
LR994558.1	ancestral	M10
LR994563.1	ancestral	M16
LR994556.1	ancestral	M6
LR994568.1	ancestral	M23
LR994569.1	ancestral	M28
