query_chr	status	assigned_ref_chr
FR997794.1	fusion	M29,MZ
FR997815.1	fusion	M25,M27
FR997820.1	ancestral	M26
FR997797.1	ancestral	M5
FR997800.1	ancestral	M8
FR997818.1	ancestral	M24
FR997812.1	ancestral	M17
FR997795.1	ancestral	M1
FR997801.1	ancestral	M7
FR997796.1	ancestral	M3
FR997816.1	ancestral	M21
FR997798.1	ancestral	M2
FR997810.1	ancestral	M13
FR997802.1	ancestral	M4
FR997803.1	ancestral	M11
FR997804.1	ancestral	M12
FR997811.1	ancestral	M19
FR997807.1	ancestral	M9
FR997809.1	ancestral	M15
FR997805.1	ancestral	M14
FR997813.1	ancestral	M18
FR997806.1	ancestral	M10
FR997814.1	ancestral	M20
FR997808.1	ancestral	M16
FR997799.1	ancestral	M6
FR997823.1	ancestral	M30
FR997817.1	ancestral	M23
FR997822.1	ancestral	M28
FR997819.1	ancestral	M22
