query_chr	status	assigned_ref_chr
LR990574.1	ancestral	M26
LR990549.1	ancestral	MZ
LR990555.1	ancestral	M5
LR990558.1	ancestral	M8
LR990573.1	ancestral	M24
LR990566.1	ancestral	M17
LR990550.1	ancestral	M1
LR990556.1	ancestral	M7
LR990552.1	ancestral	M3
LR990568.1	ancestral	M21
LR990551.1	ancestral	M2
LR990561.1	ancestral	M13
LR990553.1	ancestral	M4
LR990560.1	ancestral	M11
LR990559.1	ancestral	M12
LR990570.1	ancestral	M19
LR990562.1	ancestral	M9
LR990565.1	ancestral	M15
LR990564.1	ancestral	M14
LR990567.1	ancestral	M18
LR990557.1	ancestral	M10
LR990569.1	ancestral	M20
LR990563.1	ancestral	M16
LR990554.1	ancestral	M6
LR990579.1	ancestral	M30
LR990572.1	ancestral	M23
LR990575.1	ancestral	M28
LR990571.1	ancestral	M22
LR990577.1	ancestral	M29
LR990580.1	ancestral	M25
LR990578.1	ancestral	M27
