query_chr	status	assigned_ref_chr
LR990185.1	ancestral	M26
LR990160.1	ancestral	MZ
LR990161.1	ancestral	M5
LR990166.1	ancestral	M8
LR990183.1	ancestral	M24
LR990175.1	ancestral	M17
LR990162.1	ancestral	M1
LR990167.1	ancestral	M7
LR990159.1	ancestral	M3
LR990180.1	ancestral	M21
LR990163.1	ancestral	M2
LR990173.1	ancestral	M13
LR990165.1	ancestral	M4
LR990171.1	ancestral	M11
LR990169.1	ancestral	M12
LR990178.1	ancestral	M19
LR990170.1	ancestral	M9
LR990176.1	ancestral	M15
LR990172.1	ancestral	M14
LR990177.1	ancestral	M18
LR990168.1	ancestral	M10
LR990179.1	ancestral	M20
LR990174.1	ancestral	M16
LR990164.1	ancestral	M6
LR990189.1	ancestral	M30
LR990182.1	ancestral	M23
LR990184.1	ancestral	M28
LR990181.1	ancestral	M22
LR990186.1	ancestral	M29
LR990187.1	ancestral	M25
LR990188.1	ancestral	M27
