query_chr	status	assigned_ref_chr
VTON01000052.1	fusion	M14,M2,M4
VTON01000073.1	fusion	M11,M21
VTON01000015.1	fusion	M10,M2,M29,M3,M7
VTON01000001.1	fusion	M3,M8
VTON01000030.1	fusion	M23,M8
VTON01000027.1	fusion	M21,M5
VTON01000016.1	fusion	M14,M15,M4
VTON01000006.1	fusion	M3,M8
VTON01000011.1	fusion	M1,M12,M2
VTON01000024.1	fusion	M17,M19
VTON01000005.1	fusion	M13,M18
VTON01000025.1	fusion	M2,M21
VTON01000022.1	fusion	M20,M6
VTON01000008.1	fusion	M1,M13,M18
VTON01000069.1	fusion	M10,M9
VTON01000004.1	fusion	M10,M13,M14,M7,M9
VTON01000037.1	fusion	M17,M5
VTON01000007.1	fusion	M10,M15,M2
VTON01000061.1	fusion	M11,M9
VTON01000041.1	fusion	M1,M19
VTON01000014.1	fusion	M14,M15,M20,M6
VTON01000002.1	fusion	M20,M9
VTON01000048.1	fusion	M5,M8
VTON01000009.1	fusion	M16,M5
VTON01000029.1	fusion	M1,M3
VTON01000028.1	fusion	M23,M6
VTON01000020.1	fusion	M1,M9
VTON01000010.1	fusion	M2,M6
VTON01000035.1	fusion	M12,M17
VTON01000012.1	fusion	M12,M4,M7
VTON01000034.1	ancestral	M9
VTON01000043.1	ancestral	M24
VTON01000075.1	ancestral	M8
VTON01000049.1	split	M3
VTON01000018.1	split	M3
VTON01000033.1	split	M3
VTON01000053.1	ancestral	M26
VTON01000036.1	split	M7
VTON01000063.1	split	M7
VTON01000023.1	ancestral	M1
VTON01000003.1	split	M11
VTON01000013.1	split	M11
VTON01000042.1	ancestral	MZ
VTON01000099.1	split	M12
VTON01000017.1	split	M12
VTON01000056.1	split	M5
VTON01000077.1	split	M5
VTON01000021.1	split	M5
VTON01000096.1	split	M5
VTON01000089.1	split	M2
VTON01000050.1	split	M2
VTON01000064.1	ancestral	M18
VTON01000071.1	ancestral	M17
