query_chr	status	assigned_ref_chr
LR989874.1	ancestral	M26
LR989849.1	ancestral	MZ
LR989854.1	ancestral	M5
LR989856.1	ancestral	M8
LR989872.1	ancestral	M24
LR989867.1	ancestral	M17
LR989850.1	ancestral	M1
LR989857.1	ancestral	M7
LR989852.1	ancestral	M3
LR989869.1	ancestral	M21
LR989851.1	ancestral	M2
LR989864.1	ancestral	M13
LR989855.1	ancestral	M4
LR989859.1	ancestral	M11
LR989858.1	ancestral	M12
LR989865.1	ancestral	M19
LR989861.1	ancestral	M9
LR989866.1	ancestral	M15
LR989862.1	ancestral	M14
LR989868.1	ancestral	M18
LR989860.1	ancestral	M10
LR989870.1	ancestral	M20
LR989863.1	ancestral	M16
LR989853.1	ancestral	M6
LR989878.1	ancestral	M30
LR989871.1	ancestral	M23
LR989875.1	ancestral	M28
LR989873.1	ancestral	M22
LR989877.1	ancestral	M29
LR989879.1	ancestral	M25
LR989876.1	ancestral	M27
