query_chr	status	assigned_ref_chr
LR990609.1	fusion	M13,MZ
LR990633.1	ancestral	M26
LR990619.1	ancestral	M5
LR990613.1	ancestral	M8
LR990631.1	ancestral	M24
LR990625.1	ancestral	M17
LR990611.1	ancestral	M1
LR990612.1	ancestral	M7
LR990622.1	ancestral	M3
LR990627.1	ancestral	M21
LR990617.1	ancestral	M2
LR990615.1	ancestral	M4
LR990614.1	ancestral	M11
LR990618.1	ancestral	M12
LR990628.1	ancestral	M19
LR990621.1	ancestral	M9
LR990624.1	ancestral	M15
LR990623.1	ancestral	M14
LR990626.1	ancestral	M18
LR990610.1	ancestral	M10
LR990629.1	ancestral	M20
LR990620.1	ancestral	M16
LR990616.1	ancestral	M6
LR990635.1	ancestral	M30
LR990630.1	ancestral	M23
LR990634.1	ancestral	M28
LR990632.1	ancestral	M22
LR990636.1	ancestral	M29
LR990637.1	ancestral	M25
LR990638.1	ancestral	M27
