query_chr	status	assigned_ref_chr
LR991044.1	ancestral	M26
LR991019.1	ancestral	MZ
LR991028.1	ancestral	M5
LR991026.1	ancestral	M8
LR991040.1	ancestral	M24
LR991036.1	ancestral	M17
LR991021.1	ancestral	M1
LR991025.1	ancestral	M7
LR991023.1	ancestral	M3
LR991042.1	ancestral	M21
LR991022.1	ancestral	M2
LR991037.1	ancestral	M13
LR991024.1	ancestral	M4
LR991029.1	ancestral	M11
LR991033.1	ancestral	M12
LR991027.1	ancestral	M19
LR991032.1	ancestral	M9
LR991038.1	ancestral	M15
LR991034.1	ancestral	M14
LR991035.1	ancestral	M18
LR991030.1	ancestral	M10
LR991039.1	ancestral	M20
LR991031.1	ancestral	M16
LR991020.1	ancestral	M6
LR991049.1	ancestral	M30
LR991041.1	ancestral	M23
LR991045.1	ancestral	M28
LR991043.1	ancestral	M22
LR991048.1	ancestral	M29
LR991046.1	ancestral	M25
LR991047.1	ancestral	M27
