query_chr	status	assigned_ref_chr
FR997787.1	ancestral	M26
FR997762.1	ancestral	MZ
FR997766.1	ancestral	M5
FR997768.1	ancestral	M8
FR997785.1	ancestral	M24
FR997780.1	ancestral	M17
FR997763.1	ancestral	M1
FR997770.1	ancestral	M7
FR997765.1	ancestral	M3
FR997783.1	ancestral	M21
FR997764.1	ancestral	M2
FR997781.1	ancestral	M13
FR997771.1	ancestral	M4
FR997773.1	ancestral	M11
FR997772.1	ancestral	M12
FR997775.1	ancestral	M19
FR997776.1	ancestral	M9
FR997779.1	ancestral	M15
FR997774.1	ancestral	M14
FR997782.1	ancestral	M18
FR997769.1	ancestral	M10
FR997778.1	ancestral	M20
FR997777.1	ancestral	M16
FR997767.1	ancestral	M6
FR997790.1	ancestral	M30
FR997784.1	ancestral	M23
FR997788.1	ancestral	M28
FR997786.1	ancestral	M22
FR997789.1	ancestral	M29
FR997792.1	ancestral	M25
FR997791.1	ancestral	M27
