query_chr	status	assigned_ref_chr
LR990366.1	ancestral	M26
LR990339.1	ancestral	MZ
LR990350.1	ancestral	M5
LR990345.1	ancestral	M8
LR990361.1	ancestral	M24
LR990358.1	ancestral	M17
LR990340.1	ancestral	M1
LR990344.1	ancestral	M7
LR990348.1	ancestral	M3
LR990362.1	ancestral	M21
LR990342.1	ancestral	M2
LR990356.1	ancestral	M13
LR990347.1	ancestral	M4
LR990351.1	ancestral	M11
LR990355.1	ancestral	M12
LR990341.1	ancestral	M19
LR990353.1	ancestral	M9
LR990352.1	ancestral	M15
LR990357.1	ancestral	M14
LR990359.1	ancestral	M18
LR990346.1	ancestral	M10
LR990354.1	ancestral	M20
LR990349.1	ancestral	M16
LR990343.1	ancestral	M6
LR990368.1	ancestral	M30
LR990360.1	ancestral	M23
LR990367.1	ancestral	M28
LR990363.1	ancestral	M22
LR990369.1	ancestral	M29
LR990364.1	ancestral	M25
LR990365.1	ancestral	M27
