query_chr	status	assigned_ref_chr
LR999971.1	fusion	M27,M6
LR999978.1	fusion	M23,M29
LR999994.1	ancestral	M26
LR999970.1	ancestral	MZ
LR999976.1	ancestral	M5
LR999975.1	ancestral	M8
LR999993.1	ancestral	M24
LR999988.1	ancestral	M17
LR999972.1	ancestral	M1
LR999979.1	ancestral	M7
LR999974.1	ancestral	M3
LR999992.1	ancestral	M21
LR999973.1	ancestral	M2
LR999986.1	ancestral	M13
LR999977.1	ancestral	M4
LR999982.1	ancestral	M11
LR999981.1	ancestral	M12
LR999990.1	ancestral	M19
LR999985.1	ancestral	M9
LR999987.1	ancestral	M15
LR999983.1	ancestral	M14
LR999989.1	ancestral	M18
LR999980.1	ancestral	M10
LR999991.1	ancestral	M20
LR999984.1	ancestral	M16
LR999997.1	ancestral	M30
LR999996.1	ancestral	M28
LR999995.1	ancestral	M22
LR999998.1	ancestral	M25
