query_chr	status	assigned_ref_chr
LR990669.1	ancestral	M26
LR990641.1	ancestral	MZ
LR990647.1	ancestral	M5
LR990656.1	ancestral	M8
LR990644.1	ancestral	M24
LR990650.1	ancestral	M17
LR990642.1	ancestral	M1
LR990653.1	ancestral	M7
LR990655.1	ancestral	M3
LR990665.1	ancestral	M21
LR990645.1	ancestral	M2
LR990661.1	ancestral	M13
LR990658.1	ancestral	M4
LR990646.1	ancestral	M11
LR990659.1	ancestral	M12
LR990643.1	ancestral	M19
LR990649.1	ancestral	M9
LR990660.1	ancestral	M15
LR990663.1	ancestral	M14
LR990652.1	ancestral	M18
LR990648.1	ancestral	M10
LR990651.1	ancestral	M20
LR990657.1	ancestral	M16
LR990662.1	ancestral	M6
LR990667.1	ancestral	M30
LR990664.1	ancestral	M23
LR990668.1	ancestral	M28
LR990666.1	ancestral	M22
LR990670.1	ancestral	M29
LR990654.1	ancestral	M25
LR990671.1	ancestral	M27
