query_chr	status	assigned_ref_chr
HG992274.1	fusion	M29,MZ
HG992299.1	ancestral	M26
HG992278.1	ancestral	M5
HG992281.1	ancestral	M8
HG992297.1	ancestral	M24
HG992288.1	ancestral	M17
HG992276.1	ancestral	M1
HG992282.1	ancestral	M7
HG992279.1	ancestral	M3
HG992295.1	ancestral	M21
HG992275.1	ancestral	M2
HG992291.1	ancestral	M13
HG992280.1	ancestral	M4
HG992285.1	ancestral	M11
HG992284.1	ancestral	M12
HG992294.1	ancestral	M19
HG992286.1	ancestral	M9
HG992287.1	ancestral	M15
HG992290.1	ancestral	M14
HG992292.1	ancestral	M18
HG992283.1	ancestral	M10
HG992293.1	ancestral	M20
HG992289.1	ancestral	M16
HG992277.1	ancestral	M6
HG992302.1	ancestral	M30
HG992296.1	ancestral	M23
HG992300.1	ancestral	M28
HG992298.1	ancestral	M22
HG992303.1	ancestral	M25
HG992301.1	ancestral	M27
