query_chr	status	assigned_ref_chr
HG992235.1	ancestral	M26
HG992209.1	ancestral	MZ
HG992214.1	ancestral	M5
HG992217.1	ancestral	M8
HG992233.1	ancestral	M24
HG992226.1	ancestral	M17
HG992210.1	ancestral	M1
HG992216.1	ancestral	M7
HG992212.1	ancestral	M3
HG992230.1	ancestral	M21
HG992211.1	ancestral	M2
HG992222.1	ancestral	M13
HG992213.1	ancestral	M4
HG992220.1	ancestral	M11
HG992221.1	ancestral	M12
HG992228.1	ancestral	M19
HG992218.1	ancestral	M9
HG992224.1	ancestral	M15
HG992223.1	ancestral	M14
HG992227.1	ancestral	M18
HG992219.1	ancestral	M10
HG992229.1	ancestral	M20
HG992225.1	ancestral	M16
HG992215.1	ancestral	M6
HG992239.1	ancestral	M30
HG992232.1	ancestral	M23
HG992237.1	ancestral	M28
HG992231.1	ancestral	M22
HG992238.1	ancestral	M29
HG992234.1	ancestral	M25
HG992236.1	ancestral	M27
