query_chr	status	assigned_ref_chr
CM026299.1	ancestral	M26
CM026273.1	ancestral	MZ
CM026279.1	ancestral	M5
CM026282.1	ancestral	M8
CM026297.1	ancestral	M24
CM026290.1	ancestral	M17
CM026280.1	ancestral	M7
CM026277.1	ancestral	M3
CM026294.1	ancestral	M21
CM026276.1	ancestral	M2
CM026291.1	ancestral	M13
CM026278.1	ancestral	M4
CM026283.1	ancestral	M11
CM026284.1	ancestral	M12
CM026292.1	ancestral	M19
CM026285.1	ancestral	M9
CM026289.1	ancestral	M15
CM026287.1	ancestral	M14
CM026293.1	ancestral	M18
CM026288.1	ancestral	M10
CM026295.1	ancestral	M20
CM026286.1	ancestral	M16
CM026281.1	ancestral	M6
CM026275.1	ancestral	M1
CM026296.1	ancestral	M28
CM026300.1	ancestral	M22
CM026298.1	ancestral	M23
CM026301.1	ancestral	M29
CM026302.1	ancestral	M25
CM026303.1	ancestral	M27
