query_chr	status	assigned_ref_chr
LR990275.1	fusion	M25,M26
LR990256.1	fusion	M14,MZ
LR990258.1	fusion	M29,M8
LR990257.1	fusion	M24,M3
LR990261.1	fusion	M30,M7
LR990259.1	fusion	M11,M27
LR990260.1	fusion	M18,M19
LR990262.1	fusion	M20,M22
LR990267.1	ancestral	M5
LR990276.1	ancestral	M17
LR990265.1	ancestral	M1
LR990274.1	ancestral	M21
LR990264.1	ancestral	M2
LR990271.1	ancestral	M13
LR990263.1	ancestral	M4
LR990270.1	ancestral	M12
LR990269.1	ancestral	M9
LR990273.1	ancestral	M15
LR990268.1	ancestral	M10
LR990272.1	ancestral	M16
LR990266.1	ancestral	M6
LR990277.1	ancestral	M23
LR990278.1	ancestral	M28
