query_chr	status	assigned_ref_chr
LR990151.1	ancestral	M26
LR990126.1	ancestral	MZ
LR990136.1	ancestral	M5
LR990132.1	ancestral	M8
LR990149.1	ancestral	M24
LR990144.1	ancestral	M17
LR990127.1	ancestral	M1
LR990131.1	ancestral	M7
LR990130.1	ancestral	M3
LR990147.1	ancestral	M21
LR990128.1	ancestral	M2
LR990140.1	ancestral	M13
LR990135.1	ancestral	M4
LR990134.1	ancestral	M11
LR990137.1	ancestral	M12
LR990141.1	ancestral	M19
LR990139.1	ancestral	M9
LR990143.1	ancestral	M15
LR990142.1	ancestral	M14
LR990145.1	ancestral	M18
LR990133.1	ancestral	M10
LR990146.1	ancestral	M20
LR990138.1	ancestral	M16
LR990129.1	ancestral	M6
LR990156.1	ancestral	M30
LR990148.1	ancestral	M23
LR990152.1	ancestral	M28
LR990150.1	ancestral	M22
LR990153.1	ancestral	M29
LR990154.1	ancestral	M25
LR990155.1	ancestral	M27
