query_chr	status	assigned_ref_chr
LR999917.1	ancestral	M26
LR999891.1	ancestral	MZ
LR999901.1	ancestral	M5
LR999903.1	ancestral	M8
LR999913.1	ancestral	M24
LR999909.1	ancestral	M17
LR999893.1	ancestral	M1
LR999899.1	ancestral	M7
LR999897.1	ancestral	M3
LR999914.1	ancestral	M21
LR999894.1	ancestral	M2
LR999907.1	ancestral	M13
LR999898.1	ancestral	M4
LR999895.1	ancestral	M11
LR999902.1	ancestral	M12
LR999906.1	ancestral	M19
LR999905.1	ancestral	M9
LR999910.1	ancestral	M15
LR999908.1	ancestral	M14
LR999911.1	ancestral	M18
LR999900.1	ancestral	M10
LR999912.1	ancestral	M20
LR999904.1	ancestral	M16
LR999896.1	ancestral	M6
LR999921.1	ancestral	M30
LR999915.1	ancestral	M23
LR999918.1	ancestral	M28
LR999916.1	ancestral	M22
LR999919.1	ancestral	M29
LR999920.1	ancestral	M25
LR999922.1	ancestral	M27
