query_chr	status	assigned_ref_chr
FR997850.1	ancestral	M26
FR997825.1	ancestral	MZ
FR997832.1	ancestral	M5
FR997833.1	ancestral	M8
FR997846.1	ancestral	M24
FR997837.1	ancestral	M17
FR997827.1	ancestral	M1
FR997830.1	ancestral	M7
FR997828.1	ancestral	M3
FR997845.1	ancestral	M21
FR997826.1	ancestral	M2
FR997839.1	ancestral	M13
FR997834.1	ancestral	M4
FR997841.1	ancestral	M11
FR997835.1	ancestral	M12
FR997836.1	ancestral	M9
FR997843.1	ancestral	M15
FR997838.1	ancestral	M14
FR997842.1	ancestral	M18
FR997831.1	ancestral	M10
FR997844.1	ancestral	M20
FR997840.1	ancestral	M16
FR997829.1	ancestral	M6
FR997854.1	ancestral	M30
FR997847.1	ancestral	M23
FR997852.1	ancestral	M28
FR997849.1	ancestral	M22
FR997851.1	ancestral	M19
FR997853.1	ancestral	M29
FR997855.1	ancestral	M25
FR997848.1	ancestral	M27
