query_chr	status	assigned_ref_chr
LR990005.1	ancestral	M26
LR989982.1	ancestral	MZ
LR989989.1	ancestral	M5
LR989991.1	ancestral	M8
LR990007.1	ancestral	M24
LR990001.1	ancestral	M17
LR989984.1	ancestral	M1
LR989983.1	ancestral	M7
LR989988.1	ancestral	M3
LR990003.1	ancestral	M21
LR989985.1	ancestral	M2
LR989998.1	ancestral	M13
LR989986.1	ancestral	M4
LR989995.1	ancestral	M11
LR989994.1	ancestral	M12
LR990004.1	ancestral	M19
LR989993.1	ancestral	M9
LR989992.1	ancestral	M15
LR989997.1	ancestral	M14
LR990002.1	ancestral	M18
LR989990.1	ancestral	M10
LR990000.1	ancestral	M20
LR989999.1	ancestral	M16
LR989987.1	ancestral	M6
LR990012.1	ancestral	M30
LR990006.1	ancestral	M23
LR990011.1	ancestral	M28
LR990008.1	ancestral	M22
LR990010.1	ancestral	M29
LR990013.1	ancestral	M25
LR990009.1	ancestral	M27
