query_chr	status	assigned_ref_chr
HG992147.1	fusion	M14,M30
HG992146.1	fusion	M27,M6
HG992157.1	fusion	M23,M29
HG992172.1	ancestral	M26
HG992149.1	ancestral	MZ
HG992152.1	ancestral	M5
HG992155.1	ancestral	M8
HG992171.1	ancestral	M24
HG992165.1	ancestral	M17
HG992148.1	ancestral	M1
HG992154.1	ancestral	M7
HG992151.1	ancestral	M3
HG992169.1	ancestral	M21
HG992150.1	ancestral	M2
HG992163.1	ancestral	M13
HG992153.1	ancestral	M4
HG992159.1	ancestral	M11
HG992158.1	ancestral	M12
HG992168.1	ancestral	M19
HG992160.1	ancestral	M9
HG992164.1	ancestral	M15
HG992166.1	ancestral	M18
HG992156.1	ancestral	M10
HG992167.1	ancestral	M20
HG992161.1	ancestral	M16
HG992173.1	ancestral	M28
HG992170.1	ancestral	M22
HG992174.1	ancestral	M25
