query_chr	status	assigned_ref_chr
LR999950.1	ancestral	M26
LR999924.1	ancestral	MZ
LR999935.1	ancestral	M5
LR999932.1	ancestral	M8
LR999949.1	ancestral	M24
LR999943.1	ancestral	M17
LR999925.1	ancestral	M1
LR999933.1	ancestral	M7
LR999931.1	ancestral	M3
LR999946.1	ancestral	M21
LR999926.1	ancestral	M2
LR999937.1	ancestral	M13
LR999928.1	ancestral	M4
LR999938.1	ancestral	M11
LR999927.1	ancestral	M12
LR999944.1	ancestral	M19
LR999936.1	ancestral	M9
LR999942.1	ancestral	M15
LR999941.1	ancestral	M14
LR999945.1	ancestral	M18
LR999929.1	ancestral	M10
LR999934.1	ancestral	M20
LR999939.1	ancestral	M16
LR999930.1	ancestral	M6
LR999954.1	ancestral	M30
LR999948.1	ancestral	M23
LR999951.1	ancestral	M28
LR999947.1	ancestral	M22
LR999952.1	ancestral	M29
LR999955.1	ancestral	M25
LR999953.1	ancestral	M27
