query_chr	status	assigned_ref_chr
HG995391.1	ancestral	M26
HG995366.1	ancestral	MZ
HG995378.1	ancestral	M5
HG995377.1	ancestral	M8
HG995385.1	ancestral	M24
HG995379.1	ancestral	M17
HG995367.1	ancestral	M1
HG995372.1	ancestral	M7
HG995375.1	ancestral	M3
HG995390.1	ancestral	M21
HG995369.1	ancestral	M2
HG995370.1	ancestral	M13
HG995371.1	ancestral	M4
HG995383.1	ancestral	M11
HG995382.1	ancestral	M12
HG995368.1	ancestral	M19
HG995376.1	ancestral	M9
HG995386.1	ancestral	M15
HG995384.1	ancestral	M14
HG995380.1	ancestral	M18
HG995373.1	ancestral	M10
HG995387.1	ancestral	M20
HG995381.1	ancestral	M16
HG995374.1	ancestral	M6
HG995394.1	ancestral	M30
HG995389.1	ancestral	M23
HG995392.1	ancestral	M28
HG995388.1	ancestral	M22
HG995395.1	ancestral	M29
HG995393.1	ancestral	M25
HG995396.1	ancestral	M27
