query_chr	status	assigned_ref_chr
CM031590.1	ancestral	M26
CM031564.1	ancestral	MZ
CM031573.1	ancestral	M5
CM031582.1	ancestral	M17
CM031568.1	ancestral	M1
CM031572.1	ancestral	M7
CM031567.1	ancestral	M3
CM031570.1	ancestral	M21
CM031575.1	ancestral	M8
CM031584.1	ancestral	M13
CM031569.1	ancestral	M11
CM031576.1	ancestral	M4
CM031586.1	ancestral	M12
CM031577.1	ancestral	M19
CM031571.1	ancestral	M9
CM031566.1	ancestral	M15
CM031578.1	ancestral	M2
CM031592.1	ancestral	M14
CM031588.1	ancestral	M18
CM031580.1	ancestral	M10
CM031579.1	ancestral	M20
CM031581.1	ancestral	M16
CM031585.1	ancestral	M6
CM031593.1	ancestral	M30
CM031589.1	ancestral	M23
CM031594.1	ancestral	M28
CM031591.1	ancestral	M22
CM031583.1	ancestral	M24
CM031565.1	ancestral	M29
CM031574.1	ancestral	M25
CM031587.1	ancestral	M27
