query_chr	status	assigned_ref_chr
LR990280.1	fusion	M2,MZ
LR990281.1	fusion	M21,M8
LR990282.1	fusion	M11,M22
LR990304.1	ancestral	M26
LR990288.1	ancestral	M5
LR990300.1	ancestral	M24
LR990297.1	ancestral	M17
LR990283.1	ancestral	M1
LR990285.1	ancestral	M7
LR990287.1	ancestral	M3
LR990289.1	ancestral	M13
LR990286.1	ancestral	M4
LR990292.1	ancestral	M12
LR990290.1	ancestral	M19
LR990293.1	ancestral	M9
LR990296.1	ancestral	M15
LR990294.1	ancestral	M14
LR990298.1	ancestral	M18
LR990291.1	ancestral	M10
LR990299.1	ancestral	M20
LR990295.1	ancestral	M16
LR990284.1	ancestral	M6
LR990307.1	ancestral	M30
LR990301.1	ancestral	M23
LR990302.1	ancestral	M28
LR990306.1	ancestral	M29
LR990303.1	ancestral	M27
LR990305.1	ancestral	M25
