query_chr	status	assigned_ref_chr
FR989926.1	fusion	M21,M25,M26
FR989929.1	fusion	M29,M8
FR989927.1	fusion	M24,M3
FR989931.1	fusion	M30,M7
FR989928.1	fusion	M11,M27
FR989930.1	fusion	M18,M19
FR989933.1	fusion	M20,M22
FR989932.1	ancestral	MZ
FR989938.1	ancestral	M5
FR989946.1	ancestral	M17
FR989935.1	ancestral	M1
FR989934.1	ancestral	M2
FR989944.1	ancestral	M13
FR989936.1	ancestral	M4
FR989941.1	ancestral	M12
FR989942.1	ancestral	M9
FR989945.1	ancestral	M15
FR989940.1	ancestral	M14
FR989939.1	ancestral	M10
FR989943.1	ancestral	M16
FR989937.1	ancestral	M6
FR989947.1	ancestral	M23
FR989948.1	ancestral	M28
