query_chr	status	assigned_ref_chr
HG993180.1	fusion	M22,M26,M4
HG993165.1	fusion	M29,MZ
HG993168.1	fusion	M22,M3,M5,M7
HG993164.1	fusion	M10,M2,M3,M6,M8
HG993183.1	fusion	M1,M24
HG993163.1	fusion	M12,M17,M20
HG993162.1	fusion	M1,M17,M18
HG993173.1	fusion	M2,M3,M6
HG993178.1	fusion	M14,M19,M3,M6
HG993179.1	fusion	M10,M14,M16,M17,M26
HG993172.1	fusion	M16,M19,M21
HG993166.1	fusion	M15,M2,M23,M7
HG993171.1	fusion	M12,M28,M8
HG993167.1	fusion	M13,M24
HG993176.1	fusion	M18,M23,M5
HG993185.1	fusion	M25,M4
HG993182.1	fusion	M11,M16,M2,M6
HG993181.1	fusion	M10,M11,M4
HG993186.1	fusion	M19,M2
HG993169.1	fusion	M14,M9
HG993170.1	fusion	M10,M11,M14,M5
HG993174.1	fusion	M20,M21,M9
HG993177.1	fusion	M10,M29,M30,M8
HG993184.1	ancestral	M15
HG993175.1	ancestral	M27
