query_chr	status	assigned_ref_chr
OU015670.1	fusion	M25,M27
OU015674.1	ancestral	M26
OU015655.1	ancestral	MZ
OU015652.1	ancestral	M5
OU015656.1	ancestral	M8
OU015672.1	ancestral	M24
OU015666.1	ancestral	M17
OU015650.1	ancestral	M1
OU015657.1	ancestral	M7
OU015649.1	ancestral	M3
OU015669.1	ancestral	M21
OU015651.1	ancestral	M2
OU015667.1	ancestral	M13
OU015653.1	ancestral	M4
OU015660.1	ancestral	M11
OU015662.1	ancestral	M12
OU015671.1	ancestral	M19
OU015661.1	ancestral	M9
OU015665.1	ancestral	M15
OU015658.1	ancestral	M14
OU015663.1	ancestral	M18
OU015659.1	ancestral	M10
OU015668.1	ancestral	M20
OU015664.1	ancestral	M16
OU015654.1	ancestral	M6
OU015678.1	ancestral	M30
OU015673.1	ancestral	M23
OU015676.1	ancestral	M28
OU015675.1	ancestral	M22
OU015677.1	ancestral	M29
