query_chr	status	assigned_ref_chr
FR989950.1	fusion	M30,M9
FR989975.1	ancestral	M26
FR989951.1	ancestral	MZ
FR989954.1	ancestral	M5
FR989958.1	ancestral	M8
FR989973.1	ancestral	M24
FR989965.1	ancestral	M17
FR989952.1	ancestral	M1
FR989962.1	ancestral	M7
FR989955.1	ancestral	M3
FR989969.1	ancestral	M21
FR989953.1	ancestral	M2
FR989967.1	ancestral	M13
FR989957.1	ancestral	M4
FR989959.1	ancestral	M11
FR989961.1	ancestral	M12
FR989971.1	ancestral	M19
FR989966.1	ancestral	M15
FR989963.1	ancestral	M14
FR989968.1	ancestral	M18
FR989960.1	ancestral	M10
FR989970.1	ancestral	M20
FR989964.1	ancestral	M16
FR989956.1	ancestral	M6
FR989972.1	ancestral	M23
FR989977.1	ancestral	M28
FR989974.1	ancestral	M22
FR989979.1	ancestral	M29
FR989978.1	ancestral	M25
FR989976.1	ancestral	M27
