query_chr	status	assigned_ref_chr
HG992048.1	ancestral	M26
HG992023.1	ancestral	MZ
HG992027.1	ancestral	M5
HG992030.1	ancestral	M8
HG992045.1	ancestral	M24
HG992040.1	ancestral	M17
HG992024.1	ancestral	M1
HG992031.1	ancestral	M7
HG992025.1	ancestral	M3
HG992043.1	ancestral	M21
HG992026.1	ancestral	M2
HG992038.1	ancestral	M13
HG992029.1	ancestral	M4
HG992032.1	ancestral	M11
HG992034.1	ancestral	M12
HG992041.1	ancestral	M19
HG992037.1	ancestral	M9
HG992039.1	ancestral	M15
HG992035.1	ancestral	M14
HG992042.1	ancestral	M18
HG992033.1	ancestral	M10
HG992044.1	ancestral	M20
HG992036.1	ancestral	M16
HG992028.1	ancestral	M6
HG992052.1	ancestral	M30
HG992046.1	ancestral	M23
HG992049.1	ancestral	M28
HG992047.1	ancestral	M22
HG992050.1	ancestral	M29
HG992053.1	ancestral	M25
HG992051.1	ancestral	M27
