query_chr	status	assigned_ref_chr
CM022073.1	ancestral	M26
CM022047.1	ancestral	MZ
CM022056.1	ancestral	M5
CM022058.1	ancestral	M8
CM022066.1	ancestral	M24
CM022065.1	ancestral	M17
CM022051.1	ancestral	M1
CM022055.1	ancestral	M7
CM022050.1	ancestral	M3
CM022053.1	ancestral	M21
CM022061.1	ancestral	M2
CM022067.1	ancestral	M13
CM022059.1	ancestral	M4
CM022052.1	ancestral	M11
CM022069.1	ancestral	M12
CM022060.1	ancestral	M19
CM022054.1	ancestral	M9
CM022049.1	ancestral	M15
CM022075.1	ancestral	M14
CM022071.1	ancestral	M18
CM022063.1	ancestral	M10
CM022062.1	ancestral	M20
CM022064.1	ancestral	M16
CM022068.1	ancestral	M6
CM022076.1	ancestral	M30
CM022072.1	ancestral	M23
CM022077.1	ancestral	M28
CM022074.1	ancestral	M22
CM022048.1	ancestral	M29
CM022057.1	ancestral	M25
CM022070.1	ancestral	M27
