query_chr	status	assigned_ref_chr
HG995420.1	ancestral	M26
HG995401.1	ancestral	MZ
HG995400.1	ancestral	M5
HG995404.1	ancestral	M8
HG995421.1	ancestral	M24
HG995413.1	ancestral	M17
HG995398.1	ancestral	M1
HG995405.1	ancestral	M7
HG995397.1	ancestral	M3
HG995416.1	ancestral	M21
HG995399.1	ancestral	M2
HG995414.1	ancestral	M13
HG995403.1	ancestral	M4
HG995407.1	ancestral	M11
HG995408.1	ancestral	M12
HG995418.1	ancestral	M19
HG995410.1	ancestral	M9
HG995411.1	ancestral	M15
HG995409.1	ancestral	M14
HG995415.1	ancestral	M18
HG995406.1	ancestral	M10
HG995417.1	ancestral	M20
HG995412.1	ancestral	M16
HG995402.1	ancestral	M6
HG995426.1	ancestral	M30
HG995419.1	ancestral	M23
HG995423.1	ancestral	M28
HG995422.1	ancestral	M22
HG995424.1	ancestral	M29
HG995427.1	ancestral	M25
HG995425.1	ancestral	M27
