query_chr	status	assigned_ref_chr
HG993131.1	fusion	M22,MZ
HG993156.1	ancestral	M26
HG993135.1	ancestral	M5
HG993139.1	ancestral	M8
HG993154.1	ancestral	M24
HG993149.1	ancestral	M17
HG993132.1	ancestral	M1
HG993140.1	ancestral	M7
HG993134.1	ancestral	M3
HG993152.1	ancestral	M21
HG993133.1	ancestral	M2
HG993147.1	ancestral	M13
HG993137.1	ancestral	M4
HG993142.1	ancestral	M11
HG993143.1	ancestral	M12
HG993153.1	ancestral	M19
HG993144.1	ancestral	M9
HG993148.1	ancestral	M15
HG993145.1	ancestral	M14
HG993150.1	ancestral	M18
HG993141.1	ancestral	M10
HG993151.1	ancestral	M20
HG993146.1	ancestral	M16
HG993138.1	ancestral	M6
HG993161.1	ancestral	M30
HG993155.1	ancestral	M23
HG993157.1	ancestral	M28
HG993158.1	ancestral	M29
HG993160.1	ancestral	M25
HG993159.1	ancestral	M27
