query_chr	status	assigned_ref_chr
LR991013.1	ancestral	M26
LR990987.1	ancestral	MZ
LR990994.1	ancestral	M5
LR990995.1	ancestral	M8
LR991002.1	ancestral	M24
LR991006.1	ancestral	M17
LR990988.1	ancestral	M1
LR990991.1	ancestral	M7
LR990993.1	ancestral	M3
LR991009.1	ancestral	M21
LR990990.1	ancestral	M2
LR991005.1	ancestral	M13
LR990996.1	ancestral	M4
LR990998.1	ancestral	M11
LR991000.1	ancestral	M12
LR990989.1	ancestral	M19
LR991001.1	ancestral	M9
LR991003.1	ancestral	M15
LR991004.1	ancestral	M14
LR991007.1	ancestral	M18
LR990997.1	ancestral	M10
LR991008.1	ancestral	M20
LR990999.1	ancestral	M16
LR990992.1	ancestral	M6
LR991016.1	ancestral	M30
LR991010.1	ancestral	M23
LR991012.1	ancestral	M28
LR991011.1	ancestral	M22
LR991015.1	ancestral	M29
LR991017.1	ancestral	M25
LR991014.1	ancestral	M27
