query_chr	status	assigned_ref_chr
FR990096.1	fusion	M2,M3,MZ
FR990098.1	fusion	M21,M8
FR990099.1	fusion	M1,M30
FR990097.1	fusion	M11,M22,M27
FR990117.1	ancestral	M26
FR990104.1	ancestral	M5
FR990116.1	ancestral	M24
FR990112.1	ancestral	M17
FR990102.1	ancestral	M7
FR990107.1	ancestral	M13
FR990101.1	ancestral	M4
FR990105.1	ancestral	M12
FR990111.1	ancestral	M19
FR990108.1	ancestral	M9
FR990110.1	ancestral	M15
FR990106.1	ancestral	M14
FR990113.1	ancestral	M18
FR990103.1	ancestral	M10
FR990114.1	ancestral	M20
FR990109.1	ancestral	M16
FR990100.1	ancestral	M6
FR990115.1	ancestral	M23
FR990118.1	ancestral	M28
FR990119.1	ancestral	M29
FR990120.1	ancestral	M25
