query_chr	status	assigned_ref_chr
LR990980.1	ancestral	M26
LR990954.1	ancestral	MZ
LR990958.1	ancestral	M5
LR990962.1	ancestral	M8
LR990977.1	ancestral	M24
LR990973.1	ancestral	M17
LR990955.1	ancestral	M1
LR990961.1	ancestral	M7
LR990956.1	ancestral	M3
LR990974.1	ancestral	M21
LR990957.1	ancestral	M2
LR990970.1	ancestral	M13
LR990960.1	ancestral	M4
LR990965.1	ancestral	M11
LR990963.1	ancestral	M12
LR990971.1	ancestral	M19
LR990967.1	ancestral	M9
LR990969.1	ancestral	M15
LR990966.1	ancestral	M14
LR990972.1	ancestral	M18
LR990964.1	ancestral	M10
LR990975.1	ancestral	M20
LR990968.1	ancestral	M16
LR990959.1	ancestral	M6
LR990984.1	ancestral	M30
LR990978.1	ancestral	M23
LR990981.1	ancestral	M28
LR990979.1	ancestral	M22
LR990982.1	ancestral	M29
LR990985.1	ancestral	M25
LR990983.1	ancestral	M27
