query_chr	status	assigned_ref_chr
LR990510.1	ancestral	M26
LR990485.1	ancestral	MZ
LR990489.1	ancestral	M5
LR990492.1	ancestral	M8
LR990509.1	ancestral	M24
LR990501.1	ancestral	M17
LR990487.1	ancestral	M1
LR990493.1	ancestral	M7
LR990486.1	ancestral	M3
LR990505.1	ancestral	M21
LR990488.1	ancestral	M2
LR990502.1	ancestral	M13
LR990490.1	ancestral	M4
LR990495.1	ancestral	M11
LR990494.1	ancestral	M12
LR990504.1	ancestral	M19
LR990498.1	ancestral	M9
LR990500.1	ancestral	M15
LR990503.1	ancestral	M18
LR990497.1	ancestral	M14
LR990496.1	ancestral	M10
LR990506.1	ancestral	M20
LR990499.1	ancestral	M16
LR990491.1	ancestral	M6
LR990513.1	ancestral	M30
LR990508.1	ancestral	M23
LR990511.1	ancestral	M28
LR990507.1	ancestral	M22
LR990512.1	ancestral	M29
LR990515.1	ancestral	M25
LR990514.1	ancestral	M27
